model,Recall@5,Recall@10,Recall@50,NDCG@5,NDCG@10,NDCG@50,MRR@5,MRR@10,MRR@50
ENS_BPR__CDL_s_synth_dense_wBorda_0.9_0.1,0.007811513329489608,0.02049874784771004,0.02049874784771004,0.005710232129388496,0.009563807825029191,0.009520788523433337,0.007316118935837246,0.009208491690886058,0.009208491690886058
ENS_BPR__CDL_s_synth_aspect_wBorda_0.9_0.1,0.007811513329489608,0.02049874784771004,0.02049874784771004,0.005710232129388496,0.009563807825029191,0.009520788523433337,0.007316118935837246,0.009208491690886058,0.009208491690886058
ENS_BPR__CDL_m_synth_dense_wBorda_0.9_0.1,0.007811513329489608,0.02049874784771004,0.02049874784771004,0.005710232129388496,0.009563807825029191,0.009520788523433337,0.007316118935837246,0.009208491690886058,0.009208491690886058
ENS_BPR__CDL_m_synth_aspect_wBorda_0.9_0.1,0.007811513329489608,0.02049874784771004,0.02049874784771004,0.005710232129388496,0.009563807825029191,0.009520788523433337,0.007316118935837246,0.009208491690886058,0.009208491690886058
ENS_BPR__CDL_l_synth_dense_wBorda_0.9_0.1,0.007811513329489608,0.02049874784771004,0.02049874784771004,0.005710232129388496,0.009563807825029191,0.009520788523433337,0.007316118935837246,0.009208491690886058,0.009208491690886058
ENS_BPR__CDL_l_synth_aspect_wBorda_0.9_0.1,0.007811513329489608,0.02049874784771004,0.02049874784771004,0.005710232129388496,0.009563807825029191,0.009520788523433337,0.007316118935837246,0.009208491690886058,0.009208491690886058
ENS_BPR__CTR_s_synth_aspect_wMean_0.7_0.3,0.010261863579135633,0.02021933568449506,0.02021933568449506,0.006632151675124269,0.009902124287238115,0.009746764590916016,0.006631455399061032,0.008759967210671436,0.008759967210671436
ENS_BPR__CTR_s_synth_aspect_wMean_0.9_0.1,0.010261863579135633,0.02021933568449506,0.02021933568449506,0.006632151675124269,0.009902124287238115,0.009746764590916016,0.006631455399061032,0.008759967210671436,0.008759967210671436
ENS_MF__BPR_wBorda_0.1_0.9,0.007811513329489608,0.019325038927522246,0.019325038927522246,0.005710232129388496,0.009189412331610062,0.009146393030014207,0.007316118935837246,0.009076216558610925,0.009076216558610925
ENS_BPR__HFT_all_reviews_text_wBorda_0.9_0.1,0.007811513329489608,0.01915736622463828,0.01915736622463828,0.005710232129388496,0.009131270376965041,0.009088251075369187,0.007316118935837246,0.008973749906848499,0.008973749906848499
BPR,0.007811513329489608,0.01837489361117975,0.059551454126139075,0.005710232129388496,0.008951208343061942,0.018822465474322658,0.007316118935837246,0.008973749906848497,0.01185099704496899
ENS_BPR__VAECF_wBorda_0.9_0.1,0.007811513329489608,0.017983657304450482,0.017983657304450482,0.005710232129388496,0.008836297697536495,0.008793278395940641,0.007316118935837246,0.008991448692152916,0.008991448692152916
ENS_BPR__VAECF_wBorda_0.7_0.3,0.006539995332619499,0.017201184690991956,0.017201184690991956,0.005301693228136057,0.008461777864012063,0.008424723054528018,0.007394366197183099,0.008810734779044638,0.008810734779044638
ENS_BPR__ConvMF_m_synth_dense_wBorda_0.9_0.1,0.007811513329489608,0.01710337561430964,0.01710337561430964,0.005710232129388496,0.008585161795642459,0.008542142494046605,0.007316118935837246,0.00885637901482972,0.00885637901482972
ENS_BPR__ConvMF_s_synth_dense_wBorda_0.9_0.1,0.007811513329489608,0.017044690168300246,0.017044690168300246,0.005710232129388496,0.008562657235333082,0.008519637933737228,0.007316118935837246,0.008840077502049333,0.008840077502049333
